Benchmark,Runtime,Time,Exec.command
pi_no_thread,Go,0.459,programs/go/native/pi_no_thread 100000000
pi_no_thread,Go Wasm,1.763,Scripts/wasm_wrapper_go.sh programs/go/wasm/pi_no_thread 100000000
pi_no_thread,clang,2.435,programs/c/native/O0/pi_no_thread 100000000
pi_no_thread,clang -O3,0.449,programs/c/native/O3/pi_no_thread 100000000
pi_no_thread,emcc,1.799,node programs/c/wasm/O0/pi_no_thread.js 100000000
pi_no_thread,emcc -O3,0.498,node programs/c/wasm/O3/pi_no_thread.js 100000000
pi_no_thread,Toy,0.548,node ../toy-wasm/wrapper.js programs/toy/wasm/O/pi.wasm
pi_no_thread,Toy Heap,1.406,node ../toy-wasm/wrapper.js programs/toy/wasm_heap_stack/O/pi.wasm
hailstone,Go,2.637,programs/go/native/hailstone 10000000
hailstone,Go Wasm,8.707,Scripts/wasm_wrapper_go.sh programs/go/wasm/hailstone 10000000
hailstone,clang,5.982,programs/c/native/O0/hailstone 10000000
hailstone,clang -O3,2.206,programs/c/native/O3/hailstone 10000000
hailstone,emcc,6.28,node programs/c/wasm/O0/hailstone.js 10000000
hailstone,emcc -O3,3.721,node programs/c/wasm/O3/hailstone.js 10000000
hailstone,Toy,3.744,node ../toy-wasm/wrapper.js programs/toy/wasm/O/hailstone.wasm
hailstone,Toy Heap,5.603,node ../toy-wasm/wrapper.js programs/toy/wasm_heap_stack/O/hailstone.wasm
hailstone_rec,Go,11.679,programs/c/native/O0/hailstone_rec 10000000
hailstone_rec,Go Wasm,25.931,Scripts/wasm_wrapper_go.sh programs/go/wasm/hailstone_rec 10000000
hailstone_rec,clang,11.625,programs/c/native/O0/hailstone_rec 10000000
hailstone_rec,clang -O3,8.254,programs/c/native/O3/hailstone_rec 10000000
hailstone_rec,emcc,20.08,node programs/c/wasm/O0/hailstone_rec.js 10000000
hailstone_rec,emcc -O3,9.8420,node programs/c/wasm/O3/hailstone_rec.js 10000000
hailstone_rec,Toy,9.088,node ../toy-wasm/wrapper.js programs/toy/wasm/O/hailstone_rec.wasm
hailstone_rec,Toy Heap,15.945,node ../toy-wasm/wrapper.js programs/toy/wasm_heap_stack/O/hailstone_rec.wasm
